Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
81,0.3172,0.1147,0.017,0.0721,0.4789,0.4489,276.1213,0.441,72.457,13299.3427,72.0449,0.4489,24.4595,0.0391,72.457,2501.7756,28.265,0.071589813,0.01,0.02
82,0.2914,0.1074,0.016,0.0742,0.5111,0.4148,258.9821,0.4073,72.8717,13558.3248,72.4522,0.4148,22.2731,0.035,72.8717,2524.0486,28.3001,0.079085644,0.01,0.02
83,0.2654,0.0996,0.015,0.0761,0.5439,0.38,240.7981,0.3731,73.2518,13799.123,72.8253,0.38,20.106,0.0312,73.2518,2544.1547,28.3312,0.087250812,0.01,0.02
84,0.2396,0.0916,0.0139,0.0779,0.577,0.3451,221.7769,0.3387,73.5968,14020.8999,73.164,0.3451,17.9784,0.0275,73.5968,2562.1331,28.3587,0.096119808,0.01,0.02
85,0.2142,0.0834,0.0127,0.0796,0.6102,0.3102,202.1617,0.3044,73.9071,14223.0615,73.4685,0.3102,15.911,0.024,73.9071,2578.0441,28.3826,0.105723518,0.01,0.02
86,0.1894,0.075,0.0115,0.0811,0.643,0.2759,182.2271,0.2707,74.183,14405.2887,73.7391,0.2759,13.9243,0.0207,74.183,2591.9685,28.4033,0.11608792,0.01,0.02
87,0.1655,0.0667,0.0103,0.0825,0.675,0.2425,162.2724,0.2378,74.4255,14567.561,73.977,0.2425,12.0384,0.0176,74.4255,2604.0069,28.421,0.12723268,0.01,0.02
88,0.1428,0.0585,0.0091,0.0837,0.7059,0.2104,142.6114,0.2063,74.6359,14710.1724,74.1833,0.2104,10.2717,0.0149,74.6359,2614.2785,28.4358,0.139169666,0.01,0.02
89,0.1215,0.0507,0.0079,0.0848,0.7352,0.18,123.5602,0.1765,74.816,14833.7326,74.3598,0.18,8.6403,0.0123,74.816,2622.9188,28.4482,0.15190146,0.01,0.02
90,0.1018,0.0432,0.0068,0.0857,0.7625,0.1517,105.4226,0.1487,74.9677,14939.1552,74.5085,0.1517,7.1572,0.0101,74.9677,2630.0761,28.4583,0.165419918,0.01,0.02
91,0.084,0.0362,0.0057,0.0866,0.7876,0.1258,88.4743,0.1233,75.0936,15027.6294,74.6318,0.1258,5.8317,0.0081,75.0936,2635.9077,28.4664,0.179704878,0.01,0.02
92,0.068,0.0298,0.0047,0.0872,0.8102,0.1025,72.9479,0.1004,75.1961,15100.5773,74.7322,0.1025,4.6682,0.0064,75.1961,2640.5759,28.4728,0.194723105,0.01,0.02
93,0.0541,0.0241,0.0038,0.0878,0.8302,0.082,59.0197,0.0803,75.2781,15159.597,74.8125,0.082,3.6669,0.005,75.2781,2644.2428,28.4778,0.210427582,0.01,0.02
94,0.0422,0.0191,0.003,0.0883,0.8474,0.0643,46.7997,0.0629,75.3424,15206.3967,74.8755,0.0643,2.823,0.0038,75.3424,2647.0658,28.4816,0.226757239,0.01,0.02
95,0.0322,0.0148,0.0024,0.0886,0.862,0.0493,36.3268,0.0483,75.3917,15242.7235,74.9238,0.0493,2.1274,0.0028,75.3917,2649.1932,28.4844,0.243637203,0.01,0.02
96,0.024,0.0112,0.0018,0.0889,0.874,0.037,27.5703,0.0362,75.4288,15270.2938,74.96,0.037,1.5676,0.0021,75.4288,2650.7608,28.4865,0.260979632,0.01,0.02
97,0.0175,0.0083,0.0013,0.0891,0.8837,0.0272,20.4359,0.0266,75.4559,15290.7297,74.9866,0.0272,1.1281,0.0015,75.4559,2651.8889,28.488,0.278685157,0.01,0.02
98,0.0125,0.006,0.001,0.0893,0.8913,0.0194,14.7783,0.019,75.4754,15305.508,75.0056,0.0194,0.792,0.001,75.4754,2652.6809,28.489,0.296644902,0.01,0.02
99,0.0086,0.0042,7.0E-4,0.0894,0.897,0.0135,10.4162,0.0132,75.4889,15315.9242,75.0188,0.0135,0.542,7.0E-4,75.4889,2653.2229,28.4897,0.314743025,0.01,0.02
100,0.0058,0.0029,5.0E-4,0.0895,0.9013,0.0092,7.1495,0.009,75.4981,15323.0737,75.0278,0.0092,0.3612,5.0E-4,75.4981,2653.5841,28.4901,0.332859664,0.01,0.02
101,0.0038,0.0019,3.0E-4,0.0896,0.9044,0.0061,4.7753,0.0059,75.5042,15327.849,75.0338,0.0061,0.2342,3.0E-4,75.5042,2653.8183,28.4904,0.350874122,0.01,0.02
102,0.0025,0.0013,2.0E-4,0.0896,0.9065,0.0039,3.1019,0.0038,75.5081,15330.9509,75.0376,0.0039,0.1477,2.0E-4,75.5081,2653.966,28.4906,0.368668136,0.01,0.02
103,0.0015,8.0E-4,1.0E-4,0.0896,0.9079,0.0024,1.9587,0.0024,75.5105,15332.9096,75.04,0.0024,0.0906,1.0E-4,75.5105,2654.0566,28.4907,0.386129015,0.01,0.02
104,9.0E-4,5.0E-4,1.0E-4,0.0896,0.9089,0.0015,1.202,0.0014,75.512,15334.1116,75.0414,0.0015,0.0539,1.0E-4,75.512,2654.1105,28.4908,0.403152488,0.01,0.02
105,5.0E-4,3.0E-4,0.0,0.0896,0.9095,9.0E-4,0.7168,9.0E-4,75.5129,15334.8284,75.0423,9.0E-4,0.0312,0.0,75.5129,2654.1417,28.4908,0.419645097,0.01,0.02
106,3.0E-4,2.0E-4,0.0,0.0896,0.9099,5.0E-4,0.4154,5.0E-4,75.5134,15335.2437,75.0428,5.0E-4,0.0176,0.0,75.5134,2654.1593,28.4908,0.435526036,0.01,0.02
107,2.0E-4,1.0E-4,0.0,0.0896,0.9101,3.0E-4,0.234,3.0E-4,75.5137,15335.4777,75.043,3.0E-4,0.0096,0.0,75.5137,2654.1689,28.4908,0.450728361,0.01,0.02
108,1.0E-4,1.0E-4,0.0,0.0896,0.9102,2.0E-4,0.1282,1.0E-4,75.5138,15335.6059,75.0432,2.0E-4,0.0051,0.0,75.5138,2654.174,28.4908,0.46519957,0.01,0.02
109,0.0,0.0,0.0,0.0897,0.9103,1.0E-4,0.0683,1.0E-4,75.5139,15335.6743,75.0433,1.0E-4,0.0026,0.0,75.5139,2654.1767,28.4908,0.478901584,0.01,0.02
110,0.0,0.0,0.0,0.0897,0.9103,0.0,0.0177,0.0,75.5139,15335.692,75.0433,0.0,7.0E-4,0.0,75.5139,2654.1774,28.4908,0.491810205,0.01,0.02
