Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
52,0.7804,0.1271,0.0086,0.0126,0.0713,0.9161,246.1108,0.9084,50.6936,4381.6621,50.5582,0.9161,51.3757,0.1896,50.6936,1436.5098,25.1701,0.003437649,0.008,0.016
53,0.7715,0.1311,0.0091,0.0139,0.0744,0.9116,254.8705,0.9037,51.6053,4636.5326,51.4618,0.9116,51.6546,0.1831,51.6053,1488.1645,25.3532,0.003777345,0.008,0.016
54,0.7624,0.1349,0.0096,0.0153,0.0779,0.9068,263.2145,0.8986,52.5121,4899.7471,52.3604,0.9068,51.792,0.1768,52.5121,1539.9565,25.53,0.004160869,0.008,0.016
55,0.7531,0.1385,0.01,0.0167,0.0817,0.9016,271.1342,0.8931,53.4138,5170.8813,53.2535,0.9016,51.7964,0.1706,53.4138,1591.7529,25.7007,0.004593134,0.008,0.016
56,0.7436,0.1419,0.0105,0.0182,0.0858,0.896,278.6179,0.8872,54.3098,5449.4993,54.1408,0.896,51.6758,0.1646,54.3098,1643.4287,25.8652,0.005079611,0.008,0.016
57,0.7339,0.1451,0.0109,0.0198,0.0904,0.8899,285.6513,0.8809,55.1996,5735.1506,55.0217,0.8899,51.4372,0.1586,55.1996,1694.8659,26.0238,0.005626391,0.008,0.016
58,0.7239,0.148,0.0113,0.0214,0.0954,0.8832,292.2171,0.874,56.0828,6027.3676,55.8957,0.8832,51.0869,0.1528,56.0828,1745.9528,26.1766,0.00624025,0.008,0.016
59,0.7136,0.1508,0.0117,0.0231,0.1009,0.876,298.2948,0.8666,56.9589,6325.6624,56.7623,0.876,50.6305,0.1471,56.9589,1796.5833,26.3237,0.006928722,0.008,0.016
60,0.7029,0.1533,0.012,0.0249,0.1069,0.8682,303.8611,0.8586,57.8271,6629.5236,57.621,0.8682,50.0731,0.1415,57.8271,1846.6563,26.4652,0.007700174,0.008,0.016
61,0.6919,0.1555,0.0123,0.0267,0.1136,0.8597,308.8893,0.85,58.6868,6938.4129,58.471,0.8597,49.4191,0.136,58.6868,1896.0755,26.6012,0.00856389,0.008,0.016
62,0.6805,0.1575,0.0126,0.0285,0.121,0.8505,313.3494,0.8406,59.5373,7251.7623,59.3116,0.8505,48.6725,0.1306,59.5373,1944.748,26.7318,0.009530159,0.008,0.016
63,0.6685,0.1591,0.0129,0.0304,0.1291,0.8405,317.208,0.8305,60.3778,7568.9704,60.1422,0.8405,47.8368,0.1252,60.3778,1992.5847,26.857,0.010610365,0.008,0.016
64,0.6561,0.1605,0.0131,0.0323,0.138,0.8297,320.4285,0.8196,61.2075,7889.3988,60.9617,0.8297,46.915,0.12,61.2075,2039.4997,26.977,0.011817092,0.008,0.016
65,0.6431,0.1615,0.0133,0.0343,0.1478,0.8179,322.9706,0.8077,62.0254,8212.3695,61.7695,0.8179,45.9099,0.1148,62.0254,2085.4096,27.0919,0.013164221,0.01,0.02
66,0.6282,0.1629,0.014,0.0363,0.1586,0.8051,328.4255,0.7948,62.8305,8540.7949,62.5642,0.8051,45.3255,0.1097,62.8305,2130.7351,27.2015,0.014667038,0.01,0.02
67,0.6127,0.1639,0.0146,0.0384,0.1704,0.7912,332.6619,0.7807,63.6217,8873.4568,63.345,0.7912,44.573,0.1046,63.6217,2175.3081,27.3062,0.016342341,0.01,0.02
68,0.5965,0.1644,0.0152,0.0406,0.1833,0.7761,335.6701,0.7655,64.3978,9209.1269,64.1104,0.7761,43.6661,0.0996,64.3978,2218.9742,27.4057,0.018208547,0.01,0.02
69,0.5797,0.1644,0.0156,0.0428,0.1975,0.7597,337.4317,0.749,65.1575,9546.5586,64.8595,0.7597,42.6167,0.0946,65.1575,2261.5909,27.5003,0.020285792,0.01,0.02
70,0.5622,0.1639,0.0159,0.0452,0.2129,0.7419,337.9223,0.7312,65.8995,9884.481,65.5907,0.7419,41.4356,0.0897,65.8995,2303.0265,27.59,0.022596029,0.01,0.02
71,0.5438,0.1629,0.0161,0.0476,0.2296,0.7228,337.1127,0.7121,66.6223,10221.5936,66.3028,0.7228,40.1324,0.0848,66.6223,2343.1589,27.6748,0.02516311,0.01,0.02
72,0.5247,0.1613,0.0162,0.05,0.2478,0.7022,334.9711,0.6916,67.3245,10556.5648,66.9944,0.7022,38.716,0.0799,67.3245,2381.8749,27.7547,0.028012854,0.01,0.02
73,0.5048,0.1591,0.0162,0.0524,0.2675,0.6801,331.4661,0.6696,68.0046,10888.0309,67.664,0.6801,37.195,0.0751,68.0046,2419.0699,27.8298,0.031173083,0.01,0.02
